StateCo,StateAb,DivName,DivId,DivCo,PPName,Status,PremisesName,Address1,Address2,Address3,Locality,AddrStateAb,Postcode,PPId,AdvPremisesName,AdvAddress,AdvLocality,AdvBoothLocation,AdvGateAccess,EntrancesDesc,Lat,Lon,CCD,WheelchairAccess,OrdVoteEst,DecVoteEst,NoOrdIssuingOff,NoOfDecIssuingOff
2,NSW,Banks,103,1,Allawah,Current,P J Ferry Hall,cnr Bellevue Pde & Blakesley Rd,,,ALLAWAH,NSW,2218,31,P J Ferry Hall,cnr Bellevue Pde & Blakesley Rd,ALLAWAH,,,Blakesley Rd Bellevue Pde,-33.9767897,151.1148974,1361509,Assisted,1574,157,4,2
2,NSW,Banks,103,1,Allawah South,Current,St Raphael's Church Hall,84 George St,,,SOUTH HURSTVILLE,NSW,2221,67,St Raphael's Church Hall,84 George St,SOUTH HURSTVILLE,,,Russell La George St,-33.9756,151.111,1361510,Assisted,1019,68,3,1
2,NSW,Banks,103,1,Beverly Hills North (Banks),Current,Beverly Hills North Public School,cnr Shorter Ave & King Georges Rd,,,BEVERLY HILLS,NSW,2209,56500,Beverly Hills North Public School,cnr Shorter Ave & King Georges Rd,BEVERLY HILLS,,,Entrance:Shorter Ave,-33.9413,151.075,1350302,Assisted,393,0,0,1
2,NSW,Banks,103,1,Beverly Hills South,Abolition,,,,,,,,0,,,,,,,,,0,,0,0,0,0
2,NSW,Banks,103,1,Beverly Hills South (Banks),Appointment,Beverly Hills Public School,cnr Stoney Creek & King Georges Rds,,,BEVERLY HILLS,NSW,2209,79612,Public School,cnr Stoney Creek & King Georges Rds,BEVERLY HILLS,,,King Georges Rd,-33.9528,151.085,1360804,Full,676,0,2,0
2,NSW,Banks,103,1,Blakehurst North,Current,Blakehurst High School,270A Woniora Rd,,,BLAKEHURST,NSW,2221,46,High School,270A Woniora Rd,BLAKEHURST,,,Woniora Rd,-33.9814,151.113,1361602,Assisted,559,309,2,3
2,NSW,Banks,103,1,Blakehurst South,Abolition,,,,,,,,0,,,,,,,,,0,,0,0,0,0
2,NSW,Banks,103,1,Carlton South (Banks),Current,Carlton South Public School,Jubilee Avenue,,,CARLTON,NSW,2218,56472,Public School,Jubilee Avenue,CARLTON,,Jubilee Ave & Ecole St,,-33.9727,151.128,1361703,Assisted,1562,283,4,3
2,NSW,Banks,103,1,Carlton West,Current,St Cuthbert's Church Hall,34 Park Rd,,,CARLTON,NSW,2218,65,St Cuthbert's Church Hall,34 Park Rd,CARLTON,,,Park Rd,-33.9763447,151.1206652,1361704,Assisted,1314,281,3,3
2,NSW,Banks,103,1,Connells Point,Abolition,,,,,,,,0,,,,,,,,,0,,0,0,0,0
2,NSW,Banks,103,1,Connells Point (Banks),Appointment,Connells Point Public School,Riverview Ave,,,CONNELLS POINT,NSW,2221,42,Public School,Riverview Ave,CONNELLS POINT,,,Riverview Ave,-33.9855,151.1,1361410,Assisted,2064,172,5,2
2,NSW,Banks,103,1,East Hills,Appointment,1st East Hills Scout Hall,629 Henry Lawson Dr,,,EAST HILLS,NSW,2213,2,1st East Hills Scout Hall,629 Henry Lawson Dr,EAST HILLS,,,"Entrance to grounds: MacLaurin Ave,East Hills.",-33.9611817,150.982054,1342301,None,1385,164,3,2
2,NSW,Banks,103,1,Hurstville,Abolition,,,,,,,,0,,,,,,,,,0,,0,0,0,0
2,NSW,Banks,103,1,Hurstville (Banks),Appointment,Hurstville Senior Citizens Centre,91 Queens Rd,,,HURSTVILLE,NSW,2220,79613,Senior Citizens Centre,91 Queens Rd,HURSTVILLE,,,Queens Rd,-33.9642,151.102,1360709,Full,458,0,0,1
2,NSW,Banks,103,1,Hurstville East,Abolition,,,,,,,,0,,,,,,,,,0,,0,0,0,0
2,NSW,Banks,103,1,Hurstville East (Banks),Appointment,Hurstville Public School,Forest Rd,,,HURSTVILLE,NSW,2220,79614,Public School,Forest Rd,HURSTVILLE,,,Forest Rd Orange St,-33.9641,151.111,1360704,Assisted,301,0,0,1
2,NSW,Banks,103,1,Hurstville Grove,Current,Hurstville Grove Infants School,81 Lansdowne St,,,PENSHURST,NSW,2222,45,Hurstville Grove Infants School,81 Lansdowne St,PENSHURST,,,,-33.9729154,151.0909386,1361206,Assisted,2224,125,5,2
2,NSW,Banks,103,1,Hurstville North,Abolition,,,,,,,,0,,,,,,,,,0,,0,0,0,0
2,NSW,Banks,103,1,Hurstville South,Current,Hurstville South Public School,Maher St,,,HURSTVILLE,NSW,2220,43,Hurstville South Public School,Maher St,HURSTVILLE,,,Maher St,-33.9726,151.099,1361214,Assisted,1092,79,3,1
2,NSW,Banks,103,1,Lugarno,Current,Lugarno Public School,Old Forest Rd,,,LUGARNO,NSW,2210,4,Public School,Old Forest Rd,LUGARNO,,,Old Forest Rd,-33.985015,151.0454806,1361106,Assisted,3080,98,7,1
2,NSW,Banks,103,1,Mortdale Central,Current,Mortdale Pensioners Welfare Club,76 Pitt St,,,MORTDALE,NSW,2223,55,Pensioners Welfare Club,76 Pitt St,MORTDALE,,,Pitt St,-33.9729046,151.0773353,1360910,Assisted,2145,138,5,2
2,NSW,Banks,103,1,Mortdale East,Current,Mortdale Public School,Coleborne Ave,,,MORTDALE,NSW,2223,56,Public School,Coleborne Ave,MORTDALE,,,Coleborne Ave,-33.9727,151.081,1361302,Assisted,1533,118,4,2
2,NSW,Banks,103,1,Mortdale Heights,Abolition,,,,,,,,0,,,,,,,,,0,,0,0,0,0
