Name,State/Territory,Home Base,Travelling Allowance,Overseas Travel,Domestic Scheduled Fares,Charter,Car Costs,Office Facilities,Office Administrative Costs,Telecommunications,Family Travel Costs
The Hon Ken Wyatt AM MP,Western Australia,South Perth,4306,87.96,50370.76,0,13290.05,29072.79,25264.24,1344.96,10067.86
Senator the Hon Jacinta Collins,Victoria,Melbourne,7861,0,14793.97,0,9074.65,34839.67,10346.8,1490.33,9152.34
Ms Madeleine King MP,Western Australia,Rockingham,3171,0,24798.96,0,2392.05,34647.8,13154.15,944.78,7176.18
The Hon Julie Bishop MP,Western Australia,Subiaco,11805,283955.68,29020.04,0,9115.32,98184.26,33922.93,715.47,6748.63
Senator Murray Watt,Queensland,Brisbane,5914,0,16741.64,436,7321.88,37711.06,4203.62,1669.34,5712.72
Mr Luke Gosling OAM MP,Northern Territory,Darwin,3171,0,10884.05,0,3784.42,25915.63,27688.99,1156.98,5377.5
Mr Nick Champion MP,South Australia,Adelaide,3036,0,9437.75,0,3738.18,25666.76,31509.27,1478.88,5063.61
The Hon Kevin Andrews MP,Victoria,Melbourne,4140,0,7064.46,0,6542.07,30722.02,12242.36,1375.95,4861.43
Senator the Hon Don Farrell,South Australia,Adelaide,8456,0,8116.73,0,4360.64,26004.27,12016.02,1018.39,4746.51
Senator the Hon Nigel Scullion,Northern Territory,Darwin,14492,0,28588.53,12780,15558.49,40523.65,3478.22,1418.19,4728.66
Senator the Hon Ian Macdonald,Queensland,Ayr,9438,0,13962.59,114.14,10081.04,25958.06,5535.96,1545.15,4697.82
Senator Linda Reynolds CSC,Western Australia,Perth,3857,9751.28,11849.79,0,4395.49,27178.02,15896.47,1261.22,4512.7
The Hon Bob Katter MP,Queensland,Charters Towers,7165,0,17125.71,19809.1,33995.21,40029.25,30328.64,5087.44,4492.31
The Hon Malcolm Turnbull MP,New South Wales,Sydney,3390,73358.47,0,0,10043.47,74942.63,13554.72,1538.84,4424.32
The Hon Brendan O'Connor MP,Victoria,Melbourne,6128,0,22360.72,0,11043.26,24909.33,22426.52,1380.93,4214.04
The Hon Keith Pitt MP,Queensland,Bundaberg,10308,16538.04,25912.72,0,9399.54,20746.68,12440.95,1575.89,4188.28
Senator Jane Hume,Victoria,Melbourne,4140,0,8317.44,0,6669.74,10297.59,8467.47,241.94,4161.2
Senator David Leyonhjelm,New South Wales,Sydney,9078,0,5989.56,0,4759.88,31293.82,12049.21,2270.07,4140.42
Mr Ian Goodenough MP,Western Australia,Perth,7545,0,26584.92,0,4573.04,44028.24,14139.86,1354.97,4036.84
Ms Melissa Price MP,Western Australia,Perth,9404,0,25562.97,4852.44,8107.48,46966.72,44931.42,2027.01,3911.84
The Hon Bill Shorten MP,Victoria,Melbourne,8668,17763.96,40550.26,0,22762.1,77318.64,34860.73,1583.98,3859.97
Mr Rick Wilson MP,Western Australia,Albany,4143,0,18256.58,21965,13372.7,45012.76,45405.32,2886.82,3695.92
Mr Matt Keogh MP,Western Australia,Kelmscott,6989,0,22601.17,0,5630.57,27606.76,51930.7,1197.21,3423.16
Mr Josh Wilson MP,Western Australia,Fremantle,5330,0,14862.08,0,4840.62,37089.21,80867.99,1294.11,3394.3
Senator Barry O'Sullivan,Queensland,Toowoomba,4945,0,7002.21,234.94,667.1,30453.3,4733.29,2030.84,3366.63
Mr Bert van Manen MP,Queensland,Cornubia,6302,0,7557.76,0,3118.81,21452.65,57688.6,1726.47,3311.33
Mr Andrew Hastie MP,Western Australia,Perth,3312,18565.02,7573.36,0,5968.63,22646.7,31910.22,1045.8,3289.78
The Hon Michael Danby MP,Victoria,Melbourne,1104,0,10067.23,0,6338.77,50583.33,54595.59,1422.92,3185.39
Senator Helen Polley,Tasmania,Launceston,7090,0,10082.19,0,5490.76,28552.54,4850.05,1421.53,3163.7
The Hon Dr David Gillespie MP,New South Wales,Wauchope,5768,0,21398.09,0,11578.87,41295.35,96882.6,2371.46,3077.51
Mr Steve Georganas MP,South Australia,Adelaide,4416,0,11530.59,0,4687.16,35099.06,18923.17,1616.71,2998.59
Mr Llew O'Brien MP,Queensland,Gympie,9928,0,5178.68,0,8100.7,22536.24,15458.12,1358.34,2729.88
The Hon Barnaby Joyce MP,New South Wales,Tamworth,14752,30475.96,17819.06,0,22011.05,56982.48,67510,1822.15,2548.97
The Hon Tony Smith MP,Victoria,Melbourne,7540,0,13545.33,0,5218.97,54950.98,13828.74,1752.27,2544.98
Senator Sarah Hanson-Young,South Australia,Adelaide,7552,0,11820.16,0,4490.69,36755.41,9954.94,1388.11,2513.69
Mr Tim Hammond MP,Western Australia,Perth,4953,0,19754.75,0,4404.52,30153.77,19268.86,814.53,2509.74
Senator the Hon Concetta Fierravanti-Wells,New South Wales,Sydney,3304,118730.17,4065.07,0,6388.91,89395.28,10477.85,733.23,2478.01
Senator David Fawcett,South Australia,Adelaide,7532,0,16995.1,0,4742.7,19540.91,8040.84,716.02,2394.44
Senator the Hon Arthur Sinodinos AO,New South Wales,Sydney,6734,1064,12119.92,0,5745.65,111715.05,2464.61,1048.78,2311.66
Mr Chris Crewther MP,Victoria,Frankston,4416,0,6273.68,0,5915.96,20303.4,98570.33,1373.6,2264.25
The Hon Steven Ciobo MP,Queensland,Gold Coast,4638,342037.9,10489,0,6662.88,28386.17,29229.45,1455.85,2251.81
Senator the Hon Lisa Singh,Tasmania,Hobart,3436,10980.77,6652.87,0,3546.49,27065.98,11171.96,1272.06,2248.11
Ms Michelle Landry MP,Queensland,Yeppoon,5275,0,7766.12,7172.72,5965.67,40214.61,14972.75,2624.97,2105.33
Senator Louise Pratt,Western Australia,Maylands,6442,0,27590.38,2990.91,4855.88,28009.54,25965.19,1490.99,1712.46
Dr Chris Back,Western Australia,Perth,5298,0,27945.34,0,5047.79,33689.8,27988.94,1223.94,1695.8
Senator Malcolm Roberts,Queensland,Brisbane,2760,0,-51.06,4018.18,8913.29,20788.97,7189.71,2093.67,1651.06
