LGA_CODE,LGA_NAME,2011,2012,2013,2014,2015,2016
10050,Albury (C),Albury (C),Albury (C),Albury (C),Albury (C),Albury (C),Albury (C)
10110,Armidale Dumaresq (A),Armidale Dumaresq (A),Armidale Dumaresq (A),Armidale Dumaresq (A),Armidale Dumaresq (A),Armidale Dumaresq (A),#N/A
10130,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Armidale Regional (A)
10150,Ashfield (A),Ashfield (A),Ashfield (A),Ashfield (A),Ashfield (A),Ashfield (A),#N/A
10200,Auburn (C),Auburn (C),Auburn (C),Auburn (C),Auburn (C),Auburn (C),#N/A
10250,Ballina (A),Ballina (A),Ballina (A),Ballina (A),Ballina (A),Ballina (A),Ballina (A)
10300,Balranald (A),Balranald (A),Balranald (A),Balranald (A),Balranald (A),Balranald (A),Balranald (A)
10350,Bankstown (C),Bankstown (C),Bankstown (C),Bankstown (C),Bankstown (C),Bankstown (C),#N/A
10470,Bathurst Regional (A),Bathurst Regional (A),Bathurst Regional (A),Bathurst Regional (A),Bathurst Regional (A),Bathurst Regional (A),Bathurst Regional (A)
10550,Bega Valley (A),Bega Valley (A),Bega Valley (A),Bega Valley (A),Bega Valley (A),Bega Valley (A),Bega Valley (A)
10600,Bellingen (A),Bellingen (A),Bellingen (A),Bellingen (A),Bellingen (A),Bellingen (A),Bellingen (A)
10650,Berrigan (A),Berrigan (A),Berrigan (A),Berrigan (A),Berrigan (A),Berrigan (A),Berrigan (A)
10750,Blacktown (C),Blacktown (C),Blacktown (C),Blacktown (C),Blacktown (C),Blacktown (C),Blacktown (C)
10800,Bland (A),Bland (A),Bland (A),Bland (A),Bland (A),Bland (A),Bland (A)
10850,Blayney (A),Blayney (A),Blayney (A),Blayney (A),Blayney (A),Blayney (A),Blayney (A)
10900,Blue Mountains (C),Blue Mountains (C),Blue Mountains (C),Blue Mountains (C),Blue Mountains (C),Blue Mountains (C),Blue Mountains (C)
10950,Bogan (A),Bogan (A),Bogan (A),Bogan (A),Bogan (A),Bogan (A),Bogan (A)
11000,Bombala (A),Bombala (A),Bombala (A),Bombala (A),Bombala (A),Bombala (A),#N/A
11050,Boorowa (A),Boorowa (A),Boorowa (A),Boorowa (A),Boorowa (A),Boorowa (A),#N/A
