LGA_CODE,LGA_NAME,2005,2006,2007,2008,2009,2010,2011,2012r,2013r,2014r,2015p,2014-15%,2014-15,Area (km2),Population Density
10050,Albury (C),47004,47566,48140,48518,48814,49222,49451,49709,50220,51050,51722,1.3,672,305.9,169.1
10110,Armidale Dumaresq (A),24115,24146,24275,24573,24862,25046,25158,25298,25362,25309,25318,0.0,9,4230.8,6.0
10150,Ashfield (A),40832,41269,41916,42207,42766,43038,43538,43744,44158,44471,44540,0.2,69,8.3,5378.4
10200,Auburn (C),65924,67819,70232,72630,74920,76640,77779,80540,83332,85393,88059,3.1,2666,32.5,2711.4
10250,Ballina (A),39305,39537,39824,40020,40295,40571,40747,41015,41321,41617,41828,0.5,211,484.7,86.3
10300,Balranald (A),2545,2507,2473,2433,2404,2381,2353,2340,2370,2398,2422,1.0,24,21693.1,0.1
10350,Bankstown (C),173282,175789,179352,182679,185770,188185,190851,193605,196891,200234,203202,1.5,2968,76.8,2645.9
10470,Bathurst Regional (A),36547,36916,37272,37904,38848,39484,39960,40368,41026,41652,42231,1.4,579,3816.4,11.1
10550,Bega Valley (A),31608,31829,32183,32367,32620,32962,33128,33242,33280,33464,33475,0.0,11,6279.0,5.3
10600,Bellingen (A),12682,12716,12773,12787,12837,12891,12923,12858,12848,12924,13010,0.7,86,1600.4,8.1
10650,Berrigan (A),8076,8160,8204,8237,8282,8291,8297,8330,8361,8407,8416,0.1,9,2065.9,4.1
10750,Blacktown (C),275206,278894,284925,292002,299450,306601,312346,318038,325046,332221,339328,2.1,7107,240.1,1413.2
10800,Bland (A),6263,6212,6178,6113,6101,6049,6021,6056,5988,5990,5959,-0.5,-31,8557.7,0.7
10850,Blayney (A),6649,6741,6821,6900,7041,7143,7217,7279,7320,7410,7380,-0.4,-30,1524.9,4.8
10900,Blue Mountains (C),75971,75600,76198,77102,77869,78227,78553,78748,79165,79653,79812,0.2,159,1431.2,55.8
10950,Bogan (A),2964,2939,2972,2992,2999,3013,3009,3034,3034,3062,3059,-0.1,-3,14600.5,0.2
11000,Bombala (A),2577,2589,2567,2534,2516,2503,2484,2428,2400,2421,2430,0.4,9,3946.6,0.6
11050,Boorowa (A),2379,2350,2355,2366,2413,2451,2479,2529,2556,2600,2625,1.0,25,2578.0,1.0
11100,Botany Bay (C),37215,37453,38041,39018,40026,40909,41504,42294,43273,44714,46587,4.2,1873,21.7,2148.2
11150,Bourke (A),3349,3185,3073,3046,3013,3033,3053,3029,2994,2971,2876,-3.2,-95,41604.5,0.1
11200,Brewarrina (A),2029,2004,1961,1944,1900,1878,1874,1874,1940,1930,1917,-0.7,-13,19165.2,0.1
11250,Broken Hill (C),19915,19753,19708,19604,19421,19267,19151,19123,19039,19037,18856,-1.0,-181,170.3,110.7
11300,Burwood (A),31696,32199,32893,33343,33708,33835,34176,34707,35282,36030,36139,0.3,109,7.1,5069.9
11350,Byron (A),30130,30125,30174,30347,30537,30664,30712,31024,31601,32099,32723,1.9,624,565.8,57.8
11400,Cabonne (A),12543,12634,12706,12799,12929,13071,13211,13476,13685,13767,13860,0.7,93,6023.9,2.3
11450,Camden (A),49990,50628,52178,53736,55377,56846,58439,60661,63223,67144,72256,7.6,5112,201.3,359.0
11500,Campbelltown (C),147220,146538,147159,148407,149986,150318,151173,152639,154472,156476,158941,1.6,2465,312.1,509.2
11520,Canada Bay (A),66951,68309,70196,72320,75332,77709,80065,82271,84869,87424,88819,1.6,1395,19.9,4464.7
11550,Canterbury (C),133836,134789,136803,139725,142023,143933,145089,146829,148781,150528,151746,0.8,1218,33.6,4521.1
11600,Carrathool (A),2947,2863,2827,2784,2778,2732,2681,2699,2815,2793,2733,-2.1,-60,18932.5,0.1
11700,Central Darling (A),2096,2000,2003,2003,2029,2045,2059,2083,2069,2063,2088,1.2,25,53493.8,0.0
11720,Cessnock (C),47305,47426,48302,49303,50218,51304,52485,53355,54288,54953,55862,1.7,909,1965.4,28.4
11730,Clarence Valley (A),48853,49149,49524,49818,50433,50993,51287,51332,51020,50973,51040,0.1,67,10428.8,4.9
11750,Cobar (A),5028,5044,5042,4988,4954,4946,4883,4902,4921,4959,4975,0.3,16,45571.0,0.1
11800,Coffs Harbour (C),65957,66657,67567,68574,69358,70373,70972,71085,71766,72338,72971,0.9,633,1173.7,62.2
11860,Conargo (A),1717,1701,1687,1658,1626,1607,1585,1578,1543,1535,1533,-0.1,-2,8737.9,0.2
12000,Coolamon (A),4072,4097,4116,4145,4187,4216,4236,4287,4275,4315,4342,0.6,27,2430.9,1.8
12050,Cooma-Monaro (A),9911,9980,9991,10003,10051,10085,10131,10173,10160,10210,10145,-0.6,-65,5184.5,2.0
12150,Coonamble (A),4394,4305,4253,4233,4223,4224,4226,4238,4277,4289,4262,-0.6,-27,9915.9,0.4
12200,Cootamundra (A),7494,7483,7451,7419,7471,7508,7546,7622,7622,7743,7705,-0.5,-38,1523.8,5.1
12300,Corowa Shire (A),11027,11216,11220,11233,11298,11318,11324,11387,11404,11448,11487,0.3,39,2329.3,4.9
12350,Cowra (A),12774,12754,12688,12591,12548,12533,12523,12640,12529,12525,12476,-0.4,-49,2808.7,4.4
12500,Deniliquin (A),7723,7586,7541,7452,7446,7366,7303,7336,7373,7432,7429,0.0,-3,143.2,51.9
12600,Dubbo (C),38653,38834,39004,39204,39626,40068,40246,40614,40993,41541,41934,0.9,393,3425.7,12.2
12700,Dungog (A),8263,8245,8245,8286,8415,8457,8556,8706,8880,9103,9195,1.0,92,2250.0,4.1
12750,Eurobodalla (A),35662,35855,36103,36301,36462,36807,37082,37104,37269,37603,37882,0.7,279,3428.2,11.1
12850,Fairfield (C),185740,186117,187872,190654,193557,195174,196479,198465,201344,202982,204442,0.7,1460,101.5,2013.8
12900,Forbes (A),9610,9540,9573,9526,9562,9495,9469,9533,9654,9755,9754,0.0,-1,4718.1,2.1
12950,Gilgandra (A),4652,4618,4532,4471,4498,4529,4515,4483,4481,4452,4368,-1.9,-84,4832.0,0.9
13010,Glen Innes Severn (A),8907,8987,8919,8907,8926,8939,8911,8903,8901,8961,8999,0.4,38,5480.4,1.6
13050,Gloucester (A),4858,4879,4851,4845,4874,4929,4991,5015,4971,5061,5160,2.0,99,2950.2,1.7
13100,Gosford (C),160733,161158,162272,164469,166396,167686,168323,169574,170677,171884,173138,0.7,1254,941.1,184.0
13310,Goulburn Mulwaree (A),26615,26695,26803,27166,27654,28083,28363,28745,29214,29360,29550,0.6,190,3220.0,9.2
13320,Great Lakes (A),33372,33576,33996,34400,34856,35369,35737,35977,36303,36467,36720,0.7,253,3373.3,10.9
13340,Greater Hume Shire (A),10036,9999,9985,9988,10009,10060,10072,10140,10173,10253,10378,1.2,125,5749.3,1.8
13380,Greater Taree (C),46051,46124,46478,46846,47212,47650,48090,48403,48814,48905,49095,0.4,190,3729.1,13.2
13450,Griffith (C),24329,24450,24583,24817,25100,25264,25395,25493,25417,25795,25986,0.7,191,1639.9,15.8
13500,Gundagai (A),3762,3771,3750,3749,3759,3766,3762,3767,3745,3753,3756,0.1,3,2457.1,1.5
13550,Gunnedah (A),11792,11782,11879,11987,12151,12344,12519,12618,12682,12818,12805,-0.1,-13,4987.4,2.6
13650,Guyra (A),4344,4333,4324,4350,4419,4478,4520,4557,4633,4616,4551,-1.4,-65,4389.6,1.0
13660,Gwydir (A),5442,5428,5307,5210,5167,5131,5102,5117,5101,5076,5068,-0.2,-8,9262.4,0.5
13700,Harden (A),3665,3668,3662,3661,3652,3661,3695,3716,3761,3749,3706,-1.1,-43,1868.3,2.0
13800,Hawkesbury (C),61698,61725,62262,63066,63618,63982,64353,64639,65118,65479,66134,1.0,655,2774.6,23.8
13850,Hay (A),3512,3483,3394,3292,3209,3153,3085,3015,2961,2987,2999,0.4,12,11326.0,0.3
13950,Holroyd (C),91042,92752,95335,98038,100097,102076,104079,106164,108834,111032,113294,2.0,2262,40.2,2819.6
14000,Hornsby (A),155587,155848,157411,159382,161377,162808,163783,165160,166780,168509,170563,1.2,2054,462.1,369.1
14100,Hunters Hill (A),13636,13662,13716,13742,13835,13854,13897,14162,14483,14678,14741,0.4,63,5.7,2578.4
14150,Hurstville (C),75458,76007,77392,78916,80468,81796,82810,83755,84831,85839,86484,0.8,645,22.7,3805.8
14200,Inverell (A),15765,15845,15973,16118,16320,16476,16584,16678,16720,16838,16936,0.6,98,8594.9,2.0
14250,Jerilderie (A),1708,1675,1626,1595,1586,1568,1538,1524,1504,1519,1526,0.5,7,3373.1,0.5
14300,Junee (A),5882,5943,5942,5978,6054,6105,6132,6160,6197,6245,6230,-0.2,-15,2030.0,3.1
14350,Kempsey (A),27936,28032,28193,28431,28775,28960,29128,29286,29359,29625,29684,0.2,59,3375.7,8.8
14400,Kiama (A),19690,19626,19809,19933,20219,20522,20806,20870,21058,21298,21505,1.0,207,257.7,83.4
14450,Kogarah (C),54032,54579,55359,56371,57511,58244,58916,59768,60386,60992,61422,0.7,430,15.5,3950.5
14500,Ku-ring-gai (A),104883,104459,105551,107976,110464,112643,114604,116596,118971,120901,122859,1.6,1958,85.4,1438.7
14550,Kyogle (A),9507,9491,9491,9490,9514,9544,9537,9534,9530,9513,9537,0.3,24,3584.0,2.7
14600,Lachlan (A),6956,6829,6733,6692,6678,6663,6701,6736,6745,6770,6767,0.0,-3,14965.4,0.5
14650,Lake Macquarie (C),188547,188503,189672,191478,193585,195263,196811,198598,200710,202562,204166,0.8,1604,648.0,315.1
14700,Lane Cove (A),31538,31527,31678,31918,32308,32803,33233,33603,33981,34786,35959,3.4,1173,10.5,3431.4
14750,Leeton (A),11590,11562,11502,11457,11461,11432,11406,11501,11535,11589,11645,0.5,56,1167.0,10.0
14800,Leichhardt (A),50914,51243,52095,53133,54115,54969,55642,56364,57242,58101,58756,1.1,655,10.5,5569.4
14850,Lismore (C),43011,43338,43636,43750,43940,44190,44348,44501,44632,44562,44741,0.4,179,1287.8,34.7
14870,Lithgow (C),20272,20186,20277,20352,20621,20732,20850,21003,21109,21236,21416,0.8,180,4511.9,4.7
14900,Liverpool (C),167472,169868,172875,177372,181712,184910,188088,191401,195278,199706,204594,2.4,4888,305.4,669.9
14920,Liverpool Plains (A),7736,7717,7720,7717,7718,7738,7761,7789,7760,7778,7759,-0.2,-19,5082.3,1.5
14950,Lockhart (A),3267,3237,3203,3171,3159,3133,3098,3081,3021,3028,3025,-0.1,-3,2895.9,1.0
15050,Maitland (C),61961,63505,65143,66244,67268,68561,69924,71891,73414,75122,76607,2.0,1485,391.5,195.7
15150,Manly (A),38627,39026,39775,39852,40938,41899,42818,43412,44214,44757,45365,1.4,608,14.4,3160.2
15200,Marrickville (A),74740,75090,76470,78035,79225,80388,81121,81735,82486,83302,84270,1.2,968,16.5,5101.2
15270,Mid-Western Regional (A),21647,21641,21887,22186,22469,22774,23020,23532,23846,24002,24191,0.8,189,8752.8,2.8
15300,Moree Plains (A),14693,14407,14155,14070,14019,14032,14043,14175,14243,14175,14053,-0.9,-122,17906.0,0.8
15350,Mosman (A),27538,27570,27900,28422,28761,29131,29351,29614,29971,30258,30496,0.8,238,8.7,3525.1
