Harvest Name,Organisation Name,State,Jurisdiction,Current Name,count
Geoscience Australia,Commonwealth of Australia (Geoscience Australia),Australia,Australian Government,Geoscience Australia,8307
Geoscience Australia,"Bureau of Mineral Resources, Geology and Geophysics",Australia,Australian Government,Geoscience Australia,6329
Geoscience Australia,Geoscience Australia,Australia,Australian Government,Geoscience Australia,5866
Geoscience Australia,Australian Geological Survey Organisation,Australia,Australian Government,Geoscience Australia,768
Geoscience Australia,Bureau of Mineral Resources,Australia,Australian Government,Geoscience Australia,485
Geoscience Australia,Royal Australian Survey Corps,Australia,Australian Government,Royal Australian Survey Corps,306
Geoscience Australia,Division of National Mapping,Australia,Australian Government,Division of National Mapping,286
Geoscience Australia,Department of Supply and Shipping: Mineral Resources Survey,Australia,Australian Government,Geoscience Australia,228
Geoscience Australia,Department of Supply and Development: Geological Branch,Australia,Australian Government,Geoscience Australia,21
Geoscience Australia,AGSO-Geoscience Australia,Australia,Australian Government,Geoscience Australia,19
Geoscience Australia,Department of Supply and Development: Mineral Resources Survey,Australia,Australian Government,Geoscience Australia,18
Geoscience Australia,Australian Government Publishing Service,Australia,Australian Government,Geoscience Australia,17
Geoscience Australia,Department of Supply and Development: Commonwealth Copper & Bauxite Committee,Australia,Australian Government,Geoscience Australia,8
Geoscience Australia,Commonwealth Scientific and Industrial Research Organisation (CSIRO) Australia,Australia,Australian Government,Commonwealth Scientific and Industrial Research Organisation,5
Geoscience Australia,American Geophysical Union,Other,Other,American Geophysical Union,3
Geoscience Australia,"Bureau of Geology, Geophysics and Mineral Resources",Australia,Australian Government,Geoscience Australia,3
Geoscience Australia,Commonwealth of Australia (Department of Defence),Australia,Australian Government,Department of Defence,3
Australian Oceans Data Network,Cockburn Sound Management Council (CSMC),Western Australia,Western Australian Government,Department of Environment Regulation (WA),3
Geoscience Australia,Department of the Interior,Australia,Australian Government,Department of the Interior,2
Geoscience Australia,ANU E-Press,Australian Capital Territory,Academic,Australian National University,1
Geoscience Australia,DMC International Imaging Ltd,Australia,Other,Geoscience Australia,1
Geoscience Australia,Deep Exploration Technologies Cooperative Research Centre,Australia,Cooperative Research Centre,Deep Exploration Technologies Cooperative Research Centre,1
Geoscience Australia,Department of Home Affairs,Australia,Australian Government,Department of Home Affairs,1
data.qld.gov.au,Agriculture and Fisheries,Queensland,Queensland Government,Department of Agriculture and Fisheries (Qld),139
Geoscience Australia,Exploration Geophysics,Australia,Other,Exploration Geophysics,1
Geoscience Australia,Geoscience Australia and Bureau of Resources and Energy Economics,Australia,Australian Government,Geoscience Australia,1
Geoscience Australia,"Geoscience Australia, Canberra. Report GS2014/0090. Geological Survey of New South Wales",Australia,Australian Government,Geoscience Australia,1
Geoscience Australia,Government of South Australia (Department of Primary Industries and Regions SA),South Australia,South Australian Government,Department of Primary Industries and Regions,1
Geoscience Australia,IEA Greenhouse Gas R&D Programme,Australia,Other,IEA Greenhouse Gas R&D Programme,1
Geoscience Australia,Society of Economic Geologists,Australia,Other,Society of Economic Geologists,1
Geoscience Australia,Tectonophysics,Australia,Australian Government,Geoscience Australia,1
Geoscience Australia,U.S. Army,Other,Other,U.S. Army,1
Australian Oceans Data Network,Australian Oceans Data Network,Australia,Australian Government,Australian Oceans Data Network,10582
Australian Oceans Data Network,Australian Antarctic Data Centre,Australia,Australian Government,Australian Antarctic Division,1034
Australian Oceans Data Network,Australian Institute of Marine Science (AIMS),Australia,Australian Government,Australian Institute of Marine Science,896
Australian Oceans Data Network,Geoscience Australia,Australia,Australian Government,Geoscience Australia,451
Australian Oceans Data Network,Commonwealth of Australia (Geoscience Australia),Australia,Australian Government,Geoscience Australia,397
Australian Oceans Data Network,"Bureau of Mineral Resources, Geology and Geophysics",Australia,Australian Government,Geoscience Australia,315
Australian Oceans Data Network,Australian Geological Survey Organisation,Australia,Australian Government,Geoscience Australia,126
Australian Oceans Data Network,Derwent Estuary Program,Australia,Tasmanian Government,Derwent Estuary Program,64
Australian Oceans Data Network,"Crawford School of Public Policy (CSPP), The Australian National University (ANU)",Australian Capital Territory,Academic,Australian National University,7
Australian Oceans Data Network,Australian Antarctic Division,Australia,Australian Government,Australian Antarctic Division,31
Australian Oceans Data Network,"Department of Earth and Marine Sciences (DEMS), The Australian National University (ANU)",Australian Capital Territory,Academic,Australian National University,1
Australian Oceans Data Network,"North Australia Research Unit (NARU), The Australian National University (ANU)",Australian Capital Territory,Academic,Australian National University,1
data.gov.au,Australian National University,Australian Capital Territory,Academic,Australian National University,35
Australian Oceans Data Network,"Myers, Andrew",Australia,Other,Australian Oceans Data Network,9
Australian Oceans Data Network,Curtin University,Western Australia,Academic,Curtin University,1
